Data Counter, Data Time, Angle, Counter, Left Encoder Counts, Right Encoder Counts, Bumper Byte, Desired Heading
136, 4.280118, 30.549, 154.130, 26695, -5930, 00000000, 30.87315798401501
137, 4.311386, 30.549, 155.255, 26695, -5930, 00000000, 30.87315798401501
138, 4.342631, 30.549, 156.380, 26695, -5930, 00000000, 30.87315798401501
139, 4.373827, 30.549, 157.505, 26695, -5930, 00000000, 30.87315798401501
140, 4.405123, 30.549, 158.630, 26695, -5930, 00000000, 30.87315798401501
141, 4.436373, 30.549, 159.754, 26695, -5930, 00000000, 30.87315798401501
142, 4.467628, 30.549, 160.880, 26695, -5930, 00000000, 30.87315798401501
143, 4.498870, 30.549, 162.005, 26695, -5930, 00000000, 30.87315798401501
144, 4.530114, 30.549, 163.129, 26695, -5930, 00000000, 30.87315798401501
145, 4.561377, 30.549, 164.255, 26695, -5930, 00000000, 30.87315798401501
146, 4.592612, 30.549, 165.380, 26695, -5930, 00000000, 30.87315798401501
147, 4.623853, 30.549, 166.504, 26695, -5930, 00000000, 30.87315798401501
148, 4.655119, 30.549, 167.630, 26695, -5930, 00000000, 30.87315798401501
149, 4.686366, 30.549, 168.754, 26695, -5930, 00000000, 30.87315798401501
150, 4.717621, 30.549, 169.880, 26695, -5930, 00000000, 30.87315798401501
151, 4.748827, 30.549, 171.005, 26695, -5930, 00000000, 30.87315798401501
152, 4.780072, 30.549, 172.129, 26695, -5930, 00000000, 30.87315798401501
153, 4.811359, 30.549, 173.255, 26695, -5930, 00000000, 30.87315798401501
154, 4.842598, 30.549, 174.380, 26695, -5930, 00000000, 30.87315798401501
155, 4.873827, 30.549, 175.504, 26695, -5930, 00000000, 30.87315798401501
156, 4.905082, 30.549, 176.629, 26695, -5930, 00000000, 30.87315798401501
157, 4.936332, 30.549, 177.754, 26695, -5930, 00000000, 30.87315798401501
158, 4.967609, 30.549, 178.879, 26695, -5930, 00000000, 30.87315798401501
159, 4.998866, 30.549, 180.004, 26695, -5930, 00000000, 30.87315798401501
160, 5.030055, 30.549, 181.129, 26695, -5930, 00000000, 30.87315798401501
161, 5.061333, 30.549, 182.254, 26695, -5930, 00000000, 30.87315798401501
162, 5.092598, 30.549, 183.379, 26695, -5930, 00000000, 30.87315798401501
163, 5.123837, 30.549, 184.503, 26695, -5930, 00000000, 30.87315798401501
164, 5.155066, 30.549, 185.629, 26695, -5930, 00000000, 30.87315798401501
165, 5.186308, 30.549, 186.753, 26695, -5930, 00000000, 30.87315798401501
166, 5.217590, 30.549, 187.879, 26695, -5930, 00000000, 30.87315798401501
167, 5.248836, 30.549, 189.003, 26695, -5930, 00000000, 30.87315798401501
168, 5.280067, 30.549, 190.128, 26695, -5930, 00000000, 30.87315798401501
169, 5.311295, 30.549, 191.253, 26695, -5930, 00000000, 30.87315798401501
170, 5.342555, 30.549, 192.379, 26695, -5930, 00000000, 30.87315798401501
171, 5.373793, 30.549, 193.503, 26695, -5930, 00000000, 30.87315798401501
172, 5.405098, 30.549, 194.628, 26695, -5930, 00000000, 30.87315798401501
173, 5.436303, 30.549, 195.752, 26695, -5930, 00000000, 30.87315798401501
174, 5.467547, 30.549, 196.878, 26695, -5930, 00000000, 30.87315798401501
175, 5.498806, 30.549, 198.003, 26695, -5930, 00000000, 30.87315798401501
176, 5.530084, 30.549, 199.128, 26695, -5930, 00000000, 30.87315798401501
177, 5.561312, 30.549, 200.253, 26695, -5930, 00000000, 30.87315798401501
178, 5.592576, 30.549, 201.378, 26695, -5930, 00000000, 30.87315798401501
179, 5.623823, 30.549, 202.503, 26695, -5930, 00000000, 30.87315798401501
180, 5.655057, 30.549, 203.628, 26695, -5930, 00000000, 30.87315798401501
181, 5.686303, 30.549, 204.752, 26695, -5930, 00000000, 30.87315798401501
182, 5.717568, 30.549, 205.878, 26695, -5930, 00000000, 30.87315798401501
183, 5.748800, 30.549, 207.003, 26695, -5930, 00000000, 30.87315798401501
184, 5.780045, 30.549, 208.127, 26695, -5930, 00000000, 30.87315798401501
185, 5.811282, 30.549, 209.252, 26695, -5930, 00000000, 30.87315798401501
186, 5.842588, 30.549, 210.378, 26695, -5930, 00000000, 30.87315798401501
187, 5.873771, 30.549, 211.502, 26695, -5930, 00000000, 30.87315798401501
188, 5.905058, 30.549, 212.628, 26695, -5930, 00000000, 30.87315798401501
189, 5.936256, 30.549, 213.752, 26695, -5930, 00000000, 30.87315798401501
190, 5.967565, 30.549, 214.877, 26695, -5930, 00000000, 30.87315798401501
191, 5.998808, 30.549, 216.002, 26695, -5930, 00000000, 30.87315798401501
192, 6.030016, 30.549, 217.127, 26695, -5930, 00000000, 30.87315798401501
193, 6.061309, 30.549, 218.253, 26695, -5930, 00000000, 30.87315798401501
194, 6.092534, 30.549, 219.377, 26695, -5930, 00000000, 30.87315798401501
195, 6.123765, 30.549, 220.502, 26695, -5930, 00000000, 30.87315798401501
196, 6.155075, 30.549, 221.627, 26695, -5930, 00000000, 30.87315798401501
